CODUSU;ANO4;TRIMESTRE;NRO_HOGAR;REALIZADA;REGION;MAS_500;AGLOMERADO;PONDERA;IV1;IV1_ESP;IV2;IV3;IV3_ESP;IV4;IV5;IV6;IV7;IV7_ESP;IV8;IV9;IV10;IV11;IV12_1;IV12_2;IV12_3;II1;II2;II3;II3_1;II4_1;II4_2;II4_3;II5;II5_1;II6;II6_1;II7;II7_ESP;II8;II8_ESP;II9;V1;V2;V21;V22;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19_A;V19_B;IX_TOT;IX_MEN10;IX_MAYEQ10;ITF;DECIFR;IDECIFR;RDECIFR;GDECIFR;PDECIFR;ADECIFR;IPCF;DECCFR;IDECCFR;RDECCFR;GDECCFR;PDECCFR;ADECCFR;PONDIH;VII1_1;VII1_2;VII2_1;VII2_2;VII2_3;VII2_4;CONDICION_LABORAL;TIPO_HOGAR
TQRMNOQVSHMMLOCDEFJAH00808791;2024;3;1;1;43;N;3;228;1;;5;1;;2;1;1;1;;1;1;1;1;2;2;2;5;4;2;0;1;1;1;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;1;0;1;975000;6;6;6;;6;5;975000;9;10;9;;10;9;366;1;0;98;0;0;0;Fuera de categoría/sin información;Unipersonal
TQRMNOPTQHKLLSCDEFJAH00866946;2024;3;1;1;43;N;3;414;1;;3;3;;1;1;1;1;;1;1;1;1;2;2;2;3;2;2;0;1;2;2;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;4;0;4;0;12;12;12;;12;12;0;12;12;12;;12;12;0;1;2;98;0;0;0;Desocupado;Nuclear
TQRMNORVTHMOLSCDEFJAH00808761;2024;3;1;1;43;N;3;586;1;;2;1;;4;1;1;1;;1;1;1;1;2;2;2;2;2;2;0;1;1;2;2;0;2;0;1;;2;;1;1;2;2;2;2;2;1;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;6;2;4;0;12;12;12;;12;12;0;12;12;12;;12;12;0;1;2;98;0;0;0;Desocupado;Extendido
TQRMNORVVHMOLSCDEFJAH00866947;2024;3;1;1;43;N;3;536;1;;2;1;;2;1;1;1;;1;1;1;1;2;2;2;2;2;2;0;1;2;2;2;0;2;0;1;;1;;1;1;2;2;2;2;2;1;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;3;1;2;0;12;12;12;;12;12;0;12;12;12;;12;12;0;1;0;98;0;0;0;Desocupado;Nuclear
TQRMNOTPTHLNLRCDEFJAH00803474;2024;3;1;1;43;N;3;251;1;;3;1;;4;1;1;1;;1;1;1;1;2;2;2;3;2;2;0;1;2;1;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;2;2;0;12;12;12;;12;12;0;12;12;12;;12;12;0;2;0;96;0;0;0;Desocupado;Nuclear
TQRMNORXRHKLKTCDEGIBJ00866948;2024;3;1;1;41;N;12;823;2;;2;1;;1;1;1;1;;1;1;1;1;2;2;2;2;1;2;0;1;1;1;2;0;2;0;3;;2;;1;2;2;2;2;2;2;2;2;1;2;2;2;2;1;2;2;2;2;2;2;2;2;1;0;1;160000;1;1;1;;1;1;160000;2;2;3;;2;2;837;1;0;98;0;0;0;Ocupado autónomo;Unipersonal
TQRMNOSRPHJMKUCDEGIBJ00862108;2024;3;1;1;41;N;12;438;2;;2;1;;9;1;1;1;;1;1;1;1;2;2;2;2;1;2;0;1;1;1;2;0;2;0;1;;2;;1;2;1;2;2;2;2;2;2;1;2;2;2;2;2;1;2;2;2;2;2;2;2;1;0;1;389000;2;2;3;;2;2;389000;6;6;8;;7;8;444;96;0;98;0;0;0;Ocupado autónomo;Unipersonal
TQRMNOSTYHLOLMCDEGIBJ00804702;2024;3;1;1;41;N;12;274;1;;8;1;;4;1;1;1;;1;1;1;1;2;2;2;8;6;2;0;1;1;2;2;0;2;0;1;;2;;1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;9;5;4;1084000;6;7;8;;7;8;120444,44;1;1;2;;2;1;275;1;0;5;0;0;0;Fuera de categoría/sin información;Extendido
TQRMNOSQTHMKKSCDEGIBJ00809872;2024;3;1;1;41;N;12;411;1;;5;1;;4;1;1;1;;1;1;1;1;1;1;2;5;2;2;0;1;1;1;2;0;2;0;1;;2;;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;0;3;1350000;7;8;9;;8;9;450000;7;7;9;;7;9;442;1;0;2;3;0;0;Desocupado;Nuclear
TQRMNOPSWHLOKTCDEFOCD00866949;2024;3;1;1;41;N;8;328;1;;2;1;;4;1;1;1;;1;1;1;1;2;2;2;2;1;2;0;1;1;2;2;0;2;0;1;;2;;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;0;12;12;12;;12;12;0;12;12;12;;12;12;0;96;0;98;0;0;0;Ocupado autónomo;Unipersonal
TQSMNORTQHMOLLCDEFOCD00852367;2024;3;1;1;41;N;8;464;1;;1;2;;4;2;2;1;;1;2;2;2;2;2;2;1;1;2;0;1;2;2;2;0;2;0;6;;2;;2;1;2;2;2;2;2;1;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;4;2;2;298000;1;1;2;;2;3;74500;1;1;1;;1;2;547;1;0;98;0;0;0;Ocupado autónomo;Nuclear
TQRMNORQSHLNLLCDEFOCD00804266;2024;3;1;1;41;N;8;150;1;;2;1;;4;1;1;1;;1;1;1;1;2;2;2;2;1;2;0;1;2;2;2;0;2;0;1;;2;;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;0;2;347800;2;2;3;;2;4;173900;2;2;4;;3;5;210;1;2;98;0;0;0;Ocupado autónomo;Nuclear
TQRMNOQVXHJLLNCDEFOCD00862122;2024;3;1;1;41;N;8;414;1;;3;1;;4;1;1;1;;1;1;1;1;2;2;2;3;2;2;0;1;1;1;2;0;2;0;1;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;4;0;4;3500000;10;10;10;;10;10;875000;9;9;10;;10;10;765;1;2;98;0;0;0;Desocupado;Nuclear
TQRMNOSPRHLOLMCDEFOCD00804267;2024;3;1;1;41;N;8;325;1;;3;2;;4;2;3;1;;1;2;2;3;2;2;2;1;1;2;0;2;2;2;0;0;0;0;1;;2;;2;2;1;2;2;2;2;2;2;1;2;2;2;2;2;1;2;2;1;2;2;2;2;2;0;2;460000;2;3;4;;3;5;230000;3;3;5;;4;6;363;1;2;98;0;0;0;Ocupado autónomo;Nuclear
